,slide_id,train,val,test
199,normal_066,True,False,False
200,normal_120,True,False,False
201,tumor_006,True,False,False
202,normal_076,True,False,False
203,normal_090,True,False,False
204,tumor_035,True,False,False
205,tumor_070,True,False,False
206,tumor_086,True,False,False
207,normal_078,True,False,False
208,tumor_021,True,False,False
209,normal_157,True,False,False
210,tumor_013,True,False,False
211,normal_099,True,False,False
212,normal_158,True,False,False
213,tumor_081,True,False,False
214,normal_131,True,False,False
215,tumor_085,True,False,False
216,normal_015,True,False,False
217,normal_105,True,False,False
218,normal_064,True,False,False
219,tumor_058,True,False,False
220,tumor_056,True,False,False
221,normal_100,True,False,False
222,normal_145,True,False,False
223,normal_056,True,False,False
224,normal_022,True,False,False
225,normal_005,True,False,False
226,tumor_057,True,False,False
227,tumor_009,True,False,False
228,normal_142,True,False,False
229,normal_093,True,False,False
230,normal_071,True,False,False
231,tumor_099,True,False,False
232,tumor_062,True,False,False
233,normal_144,True,False,False
234,normal_149,True,False,False
235,normal_044,True,False,False
236,normal_084,True,False,False
237,normal_080,True,False,False
238,normal_126,True,False,False
239,tumor_063,True,False,False
240,tumor_037,True,False,False
241,normal_132,True,False,False
242,tumor_024,False,True,False
243,normal_147,False,True,False
244,normal_089,False,True,False
245,tumor_065,False,True,False
246,tumor_078,False,True,False
247,tumor_055,False,True,False
248,normal_115,False,True,False
249,tumor_040,False,True,False
250,normal_029,False,True,False
251,normal_082,False,True,False
252,normal_067,False,True,False
253,normal_008,False,True,False
254,tumor_074,False,True,False
255,normal_121,False,True,False
256,normal_146,False,True,False
257,tumor_002,False,True,False
258,normal_075,False,True,False
259,tumor_020,False,True,False
260,normal_102,False,True,False
261,normal_128,False,True,False
262,tumor_025,False,True,False
263,tumor_010,False,True,False
264,tumor_108,False,True,False
265,normal_009,False,True,False
266,normal_032,False,True,False
267,normal_046,False,True,False
268,normal_116,False,True,False
269,test_001,False,False,True
270,test_002,False,False,True
271,test_003,False,False,True
272,test_004,False,False,True
273,test_005,False,False,True
274,test_006,False,False,True
275,test_007,False,False,True
276,test_008,False,False,True
277,test_009,False,False,True
278,test_010,False,False,True
279,test_011,False,False,True
280,test_012,False,False,True
281,test_013,False,False,True
282,test_014,False,False,True
283,test_015,False,False,True
284,test_016,False,False,True
285,test_017,False,False,True
286,test_018,False,False,True
287,test_019,False,False,True
288,test_020,False,False,True
289,test_021,False,False,True
290,test_022,False,False,True
291,test_023,False,False,True
292,test_024,False,False,True
293,test_025,False,False,True
294,test_026,False,False,True
295,test_027,False,False,True
296,test_028,False,False,True
297,test_029,False,False,True
298,test_030,False,False,True
299,test_031,False,False,True
300,test_032,False,False,True
301,test_033,False,False,True
302,test_034,False,False,True
303,test_035,False,False,True
304,test_036,False,False,True
305,test_037,False,False,True
306,test_038,False,False,True
307,test_039,False,False,True
308,test_040,False,False,True
309,test_041,False,False,True
310,test_042,False,False,True
311,test_043,False,False,True
312,test_044,False,False,True
313,test_045,False,False,True
314,test_046,False,False,True
315,test_047,False,False,True
316,test_048,False,False,True
317,test_050,False,False,True
318,test_051,False,False,True
319,test_052,False,False,True
320,test_053,False,False,True
321,test_054,False,False,True
322,test_055,False,False,True
323,test_056,False,False,True
324,test_057,False,False,True
325,test_058,False,False,True
326,test_059,False,False,True
327,test_060,False,False,True
328,test_061,False,False,True
329,test_062,False,False,True
330,test_063,False,False,True
331,test_064,False,False,True
332,test_065,False,False,True
333,test_066,False,False,True
334,test_067,False,False,True
335,test_068,False,False,True
336,test_069,False,False,True
337,test_070,False,False,True
338,test_071,False,False,True
339,test_072,False,False,True
340,test_073,False,False,True
341,test_074,False,False,True
342,test_075,False,False,True
343,test_076,False,False,True
344,test_077,False,False,True
345,test_078,False,False,True
346,test_079,False,False,True
347,test_080,False,False,True
348,test_081,False,False,True
349,test_082,False,False,True
350,test_083,False,False,True
351,test_084,False,False,True
352,test_085,False,False,True
353,test_086,False,False,True
354,test_087,False,False,True
355,test_088,False,False,True
356,test_089,False,False,True
357,test_090,False,False,True
358,test_091,False,False,True
359,test_092,False,False,True
360,test_093,False,False,True
361,test_094,False,False,True
362,test_095,False,False,True
363,test_096,False,False,True
364,test_097,False,False,True
365,test_098,False,False,True
366,test_099,False,False,True
367,test_100,False,False,True
368,test_101,False,False,True
369,test_102,False,False,True
370,test_103,False,False,True
371,test_104,False,False,True
372,test_105,False,False,True
373,test_106,False,False,True
374,test_107,False,False,True
375,test_108,False,False,True
376,test_109,False,False,True
377,test_110,False,False,True
378,test_111,False,False,True
379,test_112,False,False,True
380,test_113,False,False,True
381,test_114,False,False,True
382,test_115,False,False,True
383,test_116,False,False,True
384,test_117,False,False,True
385,test_118,False,False,True
386,test_119,False,False,True
387,test_120,False,False,True
388,test_121,False,False,True
389,test_122,False,False,True
390,test_123,False,False,True
391,test_124,False,False,True
392,test_125,False,False,True
393,test_126,False,False,True
394,test_127,False,False,True
395,test_128,False,False,True
396,test_129,False,False,True
397,test_130,False,False,True
